0.6, 0.043, 0.025, 0.623
1, 0.13, 0.028, 0.602
1, -0.067, 0.025, 0.624
1, 0.046, -0.083, 0.632
0.55, 0.048, 0.026, 0.563
1, 0.126, 0.019, 0.552
1, -0.084, 0.024, 0.562
1, 0.057, -0.076, 0.565
0.5, 0.041, 0.025, 0.508
1, 0.132, 0.027, 0.499
1, -0.081, 0.025, 0.512
1, 0.043, -0.078, 0.511
0.45, 0.027, 0.027, 0.456
1, 0.119, 0.024, 0.445
1, -0.094, 0.023, 0.46
1, 0.051, -0.077, 0.461
0.4, 0.021, 0.022, 0.409
1, 0.075, 0.021, 0.404
1, -0.044, 0.023, 0.405
1, 0.026, -0.033, 0.413
0.35, 0.033, 0.025, 0.355
1, 0.081, 0.026, 0.343
1, -0.022, 0.025, 0.351
1, 0.062, -0.029, 0.352
